"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Switzerland|Bern|NA",2020-03-02,"Switzerland","Bern",NA,46.916667,7.466667,0,4,0,0,2,0,1031100,0.191,0.604,0.206,43,176.5,0.092
"Switzerland|Baselland|NA",2020-03-02,"Switzerland","Baselland",NA,47.482779,7.742975,0,2,0,0,0,0,287000,0.192,0.591,0.217,43.8,554.5,0.086
"Switzerland|Basel-Stadt|NA",2020-03-02,"Switzerland","Basel-Stadt",NA,47.558395,7.573271,0,3,235,0,2,235,193900,0.171,0.629,0.2,43.1,5247.8,0.11
"Switzerland|Fribourg|NA",2020-03-02,"Switzerland","Fribourg",NA,46.718391,7.074008,0,2,30,0,1,0,315100,0.225,0.62,0.155,39.7,197.8,0.066
"Switzerland|Geneve|NA",2020-03-02,"Switzerland","Geneve",NA,46.195602,6.148113,0,7,870,0,0,88,495200,0.211,0.625,0.164,40.4,2014.7,0.068
"Switzerland|Neuchatel|NA",2020-03-02,"Switzerland","Neuchatel",NA,46.995534,6.780126,0,1,0,0,0,0,178000,0.213,0.599,0.188,41.5,248.3,0.09
"Switzerland|St.Gallen|NA",2020-03-02,"Switzerland","St.Gallen",NA,47.43162,9.39845,0,0,0,0,0,0,504700,0.206,0.614,0.18,41.3,258.7,0.077
"Switzerland|Ticino|NA",2020-03-02,"Switzerland","Ticino",NA,46.009279,8.955576,0,2,0,0,1,0,353700,0.183,0.594,0.223,44.5,129,0.091
"Switzerland|Vaud|NA",2020-03-02,"Switzerland","Vaud",NA,46.5369,6.58478,0,0,0,0,0,0,793100,0.22,0.616,0.164,40.1,281.1,0.073
"Switzerland|Valais|NA",2020-03-02,"Switzerland","Valais",NA,46.209567,7.604659,0,3,0,0,1,0,341500,0.199,0.608,0.193,42.1,65.5,0.081
"Switzerland|Zurich|NA",2020-03-02,"Switzerland","Zurich",NA,47.451542,8.564572,0,2,0,0,0,0,1504300,0.197,0.633,0.17,41,905.8,0.074
"Switzerland|Appenzell Innerrhoden|NA",2020-03-02,"Switzerland","Appenzell Innerrhoden",NA,47.328414,9.409647,0,0,0,0,0,0,16100,0.216,0.597,0.187,42.4,93.4,0.075
"Switzerland|Appenzell Ausserrhoden|NA",2020-03-02,"Switzerland","Appenzell Ausserrhoden",NA,47.38271,9.27186,0,0,0,0,0,0,55200,0.202,0.606,0.192,41.3,227.2,0.092
"Switzerland|Glarus|NA",2020-03-02,"Switzerland","Glarus",NA,47.04057,9.068036,0,0,0,0,0,0,40300,0.192,0.61,0.197,42.7,59.3,0.094
"Switzerland|Graubunden|NA",2020-03-02,"Switzerland","Graubunden",NA,46.796756,10.305946,0,0,0,0,0,0,197900,0.181,0.61,0.209,43.7,27.9,0.088
"Switzerland|Jura|NA",2020-03-02,"Switzerland","Jura",NA,47.350744,7.156107,0,0,0,0,0,0,73300,0.212,0.582,0.206,42.4,87.4,0.091
"Switzerland|Luzern|NA",2020-03-02,"Switzerland","Luzern",NA,47.083333,8.266667,0,0,0,0,0,0,406500,0.204,0.622,0.174,41.1,284.4,0.076
"Switzerland|Nidwalden|NA",2020-03-02,"Switzerland","Nidwalden",NA,46.95805,8.36609,0,0,0,0,0,0,43000,0.183,0.62,0.197,43.3,178,0.078
"Switzerland|Obwalden|NA",2020-03-02,"Switzerland","Obwalden",NA,46.898509,8.250681,0,0,0,0,0,0,37600,0.203,0.614,0.183,42,78.2,0.074
"Switzerland|Schaffhausen|NA",2020-03-02,"Switzerland","Schaffhausen",NA,47.71357,8.59167,0,0,0,0,0,0,81400,0.188,0.602,0.21,43.4,272.8,0.091
"Switzerland|Solothurn|NA",2020-03-02,"Switzerland","Solothurn",NA,47.206649,7.516605,0,0,0,0,0,0,271400,0.191,0.616,0.193,42.8,343.4,0.09
"Switzerland|Schwyz|NA",2020-03-02,"Switzerland","Schwyz",NA,47.061787,8.756585,0,0,0,0,0,0,157300,0.195,0.63,0.174,42,184.8,0.068
"Switzerland|Thurgau|NA",2020-03-02,"Switzerland","Thurgau",NA,47.55993,8.8998,0,0,0,0,0,0,273800,0.204,0.624,0.173,41.4,317.2,0.073
"Switzerland|Uri|NA",2020-03-02,"Switzerland","Uri",NA,46.880422,8.644409,0,0,0,0,0,0,36300,0.203,0.597,0.201,42.5,34.3,0.099
"Switzerland|Zug|NA",2020-03-02,"Switzerland","Zug",NA,47.157296,8.537294,0,0,0,0,0,0,125400,0.202,0.631,0.167,41.4,605.4,0.064
"Switzerland|Aargau|NA",2020-03-03,"Switzerland","Aargau",NA,47.449406,8.327495,0,6,0,0,4,0,671000,0.203,0.624,0.174,41.4,481,0.071
"Switzerland|Baselland|NA",2020-03-03,"Switzerland","Baselland",NA,47.482779,7.742975,0,2,0,0,0,0,287000,0.192,0.591,0.217,43.8,554.5,0.086
"Switzerland|Basel-Stadt|NA",2020-03-03,"Switzerland","Basel-Stadt",NA,47.558395,7.573271,0,3,235,0,0,0,193900,0.171,0.629,0.2,43.1,5247.8,0.11
"Switzerland|Geneve|NA",2020-03-03,"Switzerland","Geneve",NA,46.195602,6.148113,0,9,977,0,2,107,495200,0.211,0.625,0.164,40.4,2014.7,0.068
"Switzerland|Jura|NA",2020-03-03,"Switzerland","Jura",NA,47.350744,7.156107,0,1,0,0,1,0,73300,0.212,0.582,0.206,42.4,87.4,0.091
"Switzerland|Neuchatel|NA",2020-03-03,"Switzerland","Neuchatel",NA,46.995534,6.780126,0,1,0,0,0,0,178000,0.213,0.599,0.188,41.5,248.3,0.09
"Switzerland|Schwyz|NA",2020-03-03,"Switzerland","Schwyz",NA,47.061787,8.756585,0,1,1,0,1,1,157300,0.195,0.63,0.174,42,184.8,0.068
"Switzerland|Ticino|NA",2020-03-03,"Switzerland","Ticino",NA,46.009279,8.955576,0,4,0,0,2,0,353700,0.183,0.594,0.223,44.5,129,0.091
"Switzerland|Vaud|NA",2020-03-03,"Switzerland","Vaud",NA,46.5369,6.58478,0,0,0,0,0,0,793100,0.22,0.616,0.164,40.1,281.1,0.073
"Switzerland|Valais|NA",2020-03-03,"Switzerland","Valais",NA,46.209567,7.604659,0,3,0,0,0,0,341500,0.199,0.608,0.193,42.1,65.5,0.081
"Switzerland|Zug|NA",2020-03-03,"Switzerland","Zug",NA,47.157296,8.537294,0,1,0,0,1,0,125400,0.202,0.631,0.167,41.4,605.4,0.064
"Switzerland|Zurich|NA",2020-03-03,"Switzerland","Zurich",NA,47.451542,8.564572,0,9,400,0,7,400,1504300,0.197,0.633,0.17,41,905.8,0.074
"Switzerland|Appenzell Innerrhoden|NA",2020-03-03,"Switzerland","Appenzell Innerrhoden",NA,47.328414,9.409647,0,0,0,0,0,0,16100,0.216,0.597,0.187,42.4,93.4,0.075
"Switzerland|Appenzell Ausserrhoden|NA",2020-03-03,"Switzerland","Appenzell Ausserrhoden",NA,47.38271,9.27186,0,0,0,0,0,0,55200,0.202,0.606,0.192,41.3,227.2,0.092
"Switzerland|Bern|NA",2020-03-03,"Switzerland","Bern",NA,46.916667,7.466667,0,4,0,0,0,0,1031100,0.191,0.604,0.206,43,176.5,0.092
"Switzerland|Fribourg|NA",2020-03-03,"Switzerland","Fribourg",NA,46.718391,7.074008,0,2,30,0,0,0,315100,0.225,0.62,0.155,39.7,197.8,0.066
"Switzerland|Glarus|NA",2020-03-03,"Switzerland","Glarus",NA,47.04057,9.068036,0,0,0,0,0,0,40300,0.192,0.61,0.197,42.7,59.3,0.094
"Switzerland|Graubunden|NA",2020-03-03,"Switzerland","Graubunden",NA,46.796756,10.305946,0,0,0,0,0,0,197900,0.181,0.61,0.209,43.7,27.9,0.088
"Switzerland|Luzern|NA",2020-03-03,"Switzerland","Luzern",NA,47.083333,8.266667,0,0,0,0,0,0,406500,0.204,0.622,0.174,41.1,284.4,0.076
"Switzerland|Nidwalden|NA",2020-03-03,"Switzerland","Nidwalden",NA,46.95805,8.36609,0,0,0,0,0,0,43000,0.183,0.62,0.197,43.3,178,0.078
"Switzerland|Obwalden|NA",2020-03-03,"Switzerland","Obwalden",NA,46.898509,8.250681,0,0,0,0,0,0,37600,0.203,0.614,0.183,42,78.2,0.074
"Switzerland|St.Gallen|NA",2020-03-03,"Switzerland","St.Gallen",NA,47.43162,9.39845,0,0,0,0,0,0,504700,0.206,0.614,0.18,41.3,258.7,0.077
"Switzerland|Schaffhausen|NA",2020-03-03,"Switzerland","Schaffhausen",NA,47.71357,8.59167,0,0,0,0,0,0,81400,0.188,0.602,0.21,43.4,272.8,0.091
"Switzerland|Solothurn|NA",2020-03-03,"Switzerland","Solothurn",NA,47.206649,7.516605,0,0,0,0,0,0,271400,0.191,0.616,0.193,42.8,343.4,0.09
"Switzerland|Thurgau|NA",2020-03-03,"Switzerland","Thurgau",NA,47.55993,8.8998,0,0,0,0,0,0,273800,0.204,0.624,0.173,41.4,317.2,0.073
"Switzerland|Uri|NA",2020-03-03,"Switzerland","Uri",NA,46.880422,8.644409,0,0,0,0,0,0,36300,0.203,0.597,0.201,42.5,34.3,0.099
"Switzerland|Aargau|NA",2020-03-04,"Switzerland","Aargau",NA,47.449406,8.327495,0,7,0,0,1,0,671000,0.203,0.624,0.174,41.4,481,0.071
"Switzerland|Bern|NA",2020-03-04,"Switzerland","Bern",NA,46.916667,7.466667,0,6,0,0,2,0,1031100,0.191,0.604,0.206,43,176.5,0.092
"Switzerland|Baselland|NA",2020-03-04,"Switzerland","Baselland",NA,47.482779,7.742975,0,2,0,0,0,0,287000,0.192,0.591,0.217,43.8,554.5,0.086
"Switzerland|Basel-Stadt|NA",2020-03-04,"Switzerland","Basel-Stadt",NA,47.558395,7.573271,0,3,235,0,0,0,193900,0.171,0.629,0.2,43.1,5247.8,0.11
"Switzerland|Fribourg|NA",2020-03-04,"Switzerland","Fribourg",NA,46.718391,7.074008,0,4,30,0,2,0,315100,0.225,0.62,0.155,39.7,197.8,0.066
"Switzerland|Geneve|NA",2020-03-04,"Switzerland","Geneve",NA,46.195602,6.148113,0,9,1084,0,0,107,495200,0.211,0.625,0.164,40.4,2014.7,0.068
"Switzerland|Jura|NA",2020-03-04,"Switzerland","Jura",NA,47.350744,7.156107,0,1,0,0,0,0,73300,0.212,0.582,0.206,42.4,87.4,0.091
"Switzerland|Luzern|NA",2020-03-04,"Switzerland","Luzern",NA,47.083333,8.266667,0,0,0,0,0,0,406500,0.204,0.622,0.174,41.1,284.4,0.076
"Switzerland|Neuchatel|NA",2020-03-04,"Switzerland","Neuchatel",NA,46.995534,6.780126,0,8,0,0,7,0,178000,0.213,0.599,0.188,41.5,248.3,0.09
"Switzerland|St.Gallen|NA",2020-03-04,"Switzerland","St.Gallen",NA,47.43162,9.39845,0,1,0,0,1,0,504700,0.206,0.614,0.18,41.3,258.7,0.077
"Switzerland|Schwyz|NA",2020-03-04,"Switzerland","Schwyz",NA,47.061787,8.756585,0,3,3,0,2,2,157300,0.195,0.63,0.174,42,184.8,0.068
"Switzerland|Ticino|NA",2020-03-04,"Switzerland","Ticino",NA,46.009279,8.955576,0,5,0,0,1,0,353700,0.183,0.594,0.223,44.5,129,0.091
"Switzerland|Vaud|NA",2020-03-04,"Switzerland","Vaud",NA,46.5369,6.58478,0,0,0,0,0,0,793100,0.22,0.616,0.164,40.1,281.1,0.073
"Switzerland|Valais|NA",2020-03-04,"Switzerland","Valais",NA,46.209567,7.604659,0,4,0,0,1,0,341500,0.199,0.608,0.193,42.1,65.5,0.081
"Switzerland|Appenzell Innerrhoden|NA",2020-03-04,"Switzerland","Appenzell Innerrhoden",NA,47.328414,9.409647,0,0,0,0,0,0,16100,0.216,0.597,0.187,42.4,93.4,0.075
"Switzerland|Appenzell Ausserrhoden|NA",2020-03-04,"Switzerland","Appenzell Ausserrhoden",NA,47.38271,9.27186,0,0,0,0,0,0,55200,0.202,0.606,0.192,41.3,227.2,0.092
"Switzerland|Glarus|NA",2020-03-04,"Switzerland","Glarus",NA,47.04057,9.068036,0,0,0,0,0,0,40300,0.192,0.61,0.197,42.7,59.3,0.094
"Switzerland|Graubunden|NA",2020-03-04,"Switzerland","Graubunden",NA,46.796756,10.305946,0,0,0,0,0,0,197900,0.181,0.61,0.209,43.7,27.9,0.088
"Switzerland|Nidwalden|NA",2020-03-04,"Switzerland","Nidwalden",NA,46.95805,8.36609,0,0,0,0,0,0,43000,0.183,0.62,0.197,43.3,178,0.078
"Switzerland|Obwalden|NA",2020-03-04,"Switzerland","Obwalden",NA,46.898509,8.250681,0,0,0,0,0,0,37600,0.203,0.614,0.183,42,78.2,0.074
"Switzerland|Schaffhausen|NA",2020-03-04,"Switzerland","Schaffhausen",NA,47.71357,8.59167,0,0,0,0,0,0,81400,0.188,0.602,0.21,43.4,272.8,0.091
"Switzerland|Solothurn|NA",2020-03-04,"Switzerland","Solothurn",NA,47.206649,7.516605,0,0,0,0,0,0,271400,0.191,0.616,0.193,42.8,343.4,0.09
"Switzerland|Thurgau|NA",2020-03-04,"Switzerland","Thurgau",NA,47.55993,8.8998,0,0,0,0,0,0,273800,0.204,0.624,0.173,41.4,317.2,0.073
"Switzerland|Uri|NA",2020-03-04,"Switzerland","Uri",NA,46.880422,8.644409,0,0,0,0,0,0,36300,0.203,0.597,0.201,42.5,34.3,0.099
"Switzerland|Zug|NA",2020-03-04,"Switzerland","Zug",NA,47.157296,8.537294,0,1,0,0,0,0,125400,0.202,0.631,0.167,41.4,605.4,0.064
"Switzerland|Zurich|NA",2020-03-04,"Switzerland","Zurich",NA,47.451542,8.564572,0,9,400,0,0,0,1504300,0.197,0.633,0.17,41,905.8,0.074
"Switzerland|Aargau|NA",2020-03-05,"Switzerland","Aargau",NA,47.449406,8.327495,0,9,0,0,2,0,671000,0.203,0.624,0.174,41.4,481,0.071
"Switzerland|Appenzell Ausserrhoden|NA",2020-03-05,"Switzerland","Appenzell Ausserrhoden",NA,47.38271,9.27186,0,1,0,0,1,0,55200,0.202,0.606,0.192,41.3,227.2,0.092
"Switzerland|Baselland|NA",2020-03-05,"Switzerland","Baselland",NA,47.482779,7.742975,0,6,0,0,4,0,287000,0.192,0.591,0.217,43.8,554.5,0.086
"Switzerland|Basel-Stadt|NA",2020-03-05,"Switzerland","Basel-Stadt",NA,47.558395,7.573271,0,8,235,0,5,0,193900,0.171,0.629,0.2,43.1,5247.8,0.11
"Switzerland|Fribourg|NA",2020-03-05,"Switzerland","Fribourg",NA,46.718391,7.074008,0,6,30,0,2,0,315100,0.225,0.62,0.155,39.7,197.8,0.066
"Switzerland|Geneve|NA",2020-03-05,"Switzerland","Geneve",NA,46.195602,6.148113,0,13,1148,0,4,64,495200,0.211,0.625,0.164,40.4,2014.7,0.068
"Switzerland|Jura|NA",2020-03-05,"Switzerland","Jura",NA,47.350744,7.156107,0,2,0,0,1,0,73300,0.212,0.582,0.206,42.4,87.4,0.091
"Switzerland|Neuchatel|NA",2020-03-05,"Switzerland","Neuchatel",NA,46.995534,6.780126,0,9,0,0,1,0,178000,0.213,0.599,0.188,41.5,248.3,0.09
"Switzerland|Ticino|NA",2020-03-05,"Switzerland","Ticino",NA,46.009279,8.955576,0,18,0,0,13,0,353700,0.183,0.594,0.223,44.5,129,0.091
"Switzerland|Vaud|NA",2020-03-05,"Switzerland","Vaud",NA,46.5369,6.58478,0,0,0,0,0,0,793100,0.22,0.616,0.164,40.1,281.1,0.073
"Switzerland|Valais|NA",2020-03-05,"Switzerland","Valais",NA,46.209567,7.604659,0,5,0,0,1,0,341500,0.199,0.608,0.193,42.1,65.5,0.081
"Switzerland|Zug|NA",2020-03-05,"Switzerland","Zug",NA,47.157296,8.537294,0,3,0,0,2,0,125400,0.202,0.631,0.167,41.4,605.4,0.064
"Switzerland|Zurich|NA",2020-03-05,"Switzerland","Zurich",NA,47.451542,8.564572,0,19,400,0,10,0,1504300,0.197,0.633,0.17,41,905.8,0.074
"Switzerland|Appenzell Innerrhoden|NA",2020-03-05,"Switzerland","Appenzell Innerrhoden",NA,47.328414,9.409647,0,0,0,0,0,0,16100,0.216,0.597,0.187,42.4,93.4,0.075
"Switzerland|Bern|NA",2020-03-05,"Switzerland","Bern",NA,46.916667,7.466667,0,6,0,0,0,0,1031100,0.191,0.604,0.206,43,176.5,0.092
"Switzerland|Glarus|NA",2020-03-05,"Switzerland","Glarus",NA,47.04057,9.068036,0,0,0,0,0,0,40300,0.192,0.61,0.197,42.7,59.3,0.094
"Switzerland|Graubunden|NA",2020-03-05,"Switzerland","Graubunden",NA,46.796756,10.305946,0,0,0,0,0,0,197900,0.181,0.61,0.209,43.7,27.9,0.088
"Switzerland|Luzern|NA",2020-03-05,"Switzerland","Luzern",NA,47.083333,8.266667,0,0,0,0,0,0,406500,0.204,0.622,0.174,41.1,284.4,0.076
"Switzerland|Nidwalden|NA",2020-03-05,"Switzerland","Nidwalden",NA,46.95805,8.36609,0,0,0,0,0,0,43000,0.183,0.62,0.197,43.3,178,0.078
"Switzerland|Obwalden|NA",2020-03-05,"Switzerland","Obwalden",NA,46.898509,8.250681,0,0,0,0,0,0,37600,0.203,0.614,0.183,42,78.2,0.074
"Switzerland|St.Gallen|NA",2020-03-05,"Switzerland","St.Gallen",NA,47.43162,9.39845,0,1,0,0,0,0,504700,0.206,0.614,0.18,41.3,258.7,0.077
"Switzerland|Schaffhausen|NA",2020-03-05,"Switzerland","Schaffhausen",NA,47.71357,8.59167,0,0,0,0,0,0,81400,0.188,0.602,0.21,43.4,272.8,0.091
"Switzerland|Solothurn|NA",2020-03-05,"Switzerland","Solothurn",NA,47.206649,7.516605,0,0,0,0,0,0,271400,0.191,0.616,0.193,42.8,343.4,0.09
"Switzerland|Schwyz|NA",2020-03-05,"Switzerland","Schwyz",NA,47.061787,8.756585,0,3,3,0,0,0,157300,0.195,0.63,0.174,42,184.8,0.068
"Switzerland|Thurgau|NA",2020-03-05,"Switzerland","Thurgau",NA,47.55993,8.8998,0,0,0,0,0,0,273800,0.204,0.624,0.173,41.4,317.2,0.073
"Switzerland|Uri|NA",2020-03-05,"Switzerland","Uri",NA,46.880422,8.644409,0,0,0,0,0,0,36300,0.203,0.597,0.201,42.5,34.3,0.099
"Switzerland|Aargau|NA",2020-03-06,"Switzerland","Aargau",NA,47.449406,8.327495,0,12,0,0,3,0,671000,0.203,0.624,0.174,41.4,481,0.071
"Switzerland|Bern|NA",2020-03-06,"Switzerland","Bern",NA,46.916667,7.466667,0,17,0,0,11,0,1031100,0.191,0.604,0.206,43,176.5,0.092
"Switzerland|Baselland|NA",2020-03-06,"Switzerland","Baselland",NA,47.482779,7.742975,0,6,0,0,0,0,287000,0.192,0.591,0.217,43.8,554.5,0.086
"Switzerland|Basel-Stadt|NA",2020-03-06,"Switzerland","Basel-Stadt",NA,47.558395,7.573271,0,15,235,0,7,0,193900,0.171,0.629,0.2,43.1,5247.8,0.11
"Switzerland|Geneve|NA",2020-03-06,"Switzerland","Geneve",NA,46.195602,6.148113,0,17,1244,0,4,96,495200,0.211,0.625,0.164,40.4,2014.7,0.068
"Switzerland|Jura|NA",2020-03-06,"Switzerland","Jura",NA,47.350744,7.156107,0,3,0,0,1,0,73300,0.212,0.582,0.206,42.4,87.4,0.091
"Switzerland|Neuchatel|NA",2020-03-06,"Switzerland","Neuchatel",NA,46.995534,6.780126,0,13,0,0,4,0,178000,0.213,0.599,0.188,41.5,248.3,0.09
"Switzerland|St.Gallen|NA",2020-03-06,"Switzerland","St.Gallen",NA,47.43162,9.39845,0,2,0,0,1,0,504700,0.206,0.614,0.18,41.3,258.7,0.077
"Switzerland|Solothurn|NA",2020-03-06,"Switzerland","Solothurn",NA,47.206649,7.516605,0,1,0,0,1,0,271400,0.191,0.616,0.193,42.8,343.4,0.09
"Switzerland|Schwyz|NA",2020-03-06,"Switzerland","Schwyz",NA,47.061787,8.756585,0,6,6,0,3,3,157300,0.195,0.63,0.174,42,184.8,0.068
"Switzerland|Ticino|NA",2020-03-06,"Switzerland","Ticino",NA,46.009279,8.955576,0,18,0,0,0,0,353700,0.183,0.594,0.223,44.5,129,0.091
"Switzerland|Vaud|NA",2020-03-06,"Switzerland","Vaud",NA,46.5369,6.58478,1,23,0,1,23,0,793100,0.22,0.616,0.164,40.1,281.1,0.073
"Switzerland|Valais|NA",2020-03-06,"Switzerland","Valais",NA,46.209567,7.604659,0,6,0,0,1,0,341500,0.199,0.608,0.193,42.1,65.5,0.081
"Switzerland|Zurich|NA",2020-03-06,"Switzerland","Zurich",NA,47.451542,8.564572,0,26,400,0,7,0,1504300,0.197,0.633,0.17,41,905.8,0.074
"Switzerland|Appenzell Innerrhoden|NA",2020-03-06,"Switzerland","Appenzell Innerrhoden",NA,47.328414,9.409647,0,0,0,0,0,0,16100,0.216,0.597,0.187,42.4,93.4,0.075
"Switzerland|Appenzell Ausserrhoden|NA",2020-03-06,"Switzerland","Appenzell Ausserrhoden",NA,47.38271,9.27186,0,1,0,0,0,0,55200,0.202,0.606,0.192,41.3,227.2,0.092
"Switzerland|Fribourg|NA",2020-03-06,"Switzerland","Fribourg",NA,46.718391,7.074008,0,6,30,0,0,0,315100,0.225,0.62,0.155,39.7,197.8,0.066
"Switzerland|Glarus|NA",2020-03-06,"Switzerland","Glarus",NA,47.04057,9.068036,0,0,0,0,0,0,40300,0.192,0.61,0.197,42.7,59.3,0.094
"Switzerland|Graubunden|NA",2020-03-06,"Switzerland","Graubunden",NA,46.796756,10.305946,0,0,0,0,0,0,197900,0.181,0.61,0.209,43.7,27.9,0.088
"Switzerland|Luzern|NA",2020-03-06,"Switzerland","Luzern",NA,47.083333,8.266667,0,0,0,0,0,0,406500,0.204,0.622,0.174,41.1,284.4,0.076
"Switzerland|Nidwalden|NA",2020-03-06,"Switzerland","Nidwalden",NA,46.95805,8.36609,0,0,0,0,0,0,43000,0.183,0.62,0.197,43.3,178,0.078
"Switzerland|Obwalden|NA",2020-03-06,"Switzerland","Obwalden",NA,46.898509,8.250681,0,0,0,0,0,0,37600,0.203,0.614,0.183,42,78.2,0.074
"Switzerland|Schaffhausen|NA",2020-03-06,"Switzerland","Schaffhausen",NA,47.71357,8.59167,0,0,0,0,0,0,81400,0.188,0.602,0.21,43.4,272.8,0.091
"Switzerland|Thurgau|NA",2020-03-06,"Switzerland","Thurgau",NA,47.55993,8.8998,0,0,0,0,0,0,273800,0.204,0.624,0.173,41.4,317.2,0.073
"Switzerland|Uri|NA",2020-03-06,"Switzerland","Uri",NA,46.880422,8.644409,0,0,0,0,0,0,36300,0.203,0.597,0.201,42.5,34.3,0.099
"Switzerland|Zug|NA",2020-03-06,"Switzerland","Zug",NA,47.157296,8.537294,0,3,0,0,0,0,125400,0.202,0.631,0.167,41.4,605.4,0.064
"Switzerland|Baselland|NA",2020-03-07,"Switzerland","Baselland",NA,47.482779,7.742975,0,15,0,0,9,0,287000,0.192,0.591,0.217,43.8,554.5,0.086
"Switzerland|Basel-Stadt|NA",2020-03-07,"Switzerland","Basel-Stadt",NA,47.558395,7.573271,0,21,235,0,6,0,193900,0.171,0.629,0.2,43.1,5247.8,0.11
"Switzerland|Geneve|NA",2020-03-07,"Switzerland","Geneve",NA,46.195602,6.148113,0,26,1319,0,9,75,495200,0.211,0.625,0.164,40.4,2014.7,0.068
"Switzerland|Jura|NA",2020-03-07,"Switzerland","Jura",NA,47.350744,7.156107,0,4,0,0,1,0,73300,0.212,0.582,0.206,42.4,87.4,0.091
"Switzerland|Neuchatel|NA",2020-03-07,"Switzerland","Neuchatel",NA,46.995534,6.780126,0,18,0,0,5,0,178000,0.213,0.599,0.188,41.5,248.3,0.09
"Switzerland|Ticino|NA",2020-03-07,"Switzerland","Ticino",NA,46.009279,8.955576,0,45,0,0,27,0,353700,0.183,0.594,0.223,44.5,129,0.091
"Switzerland|Vaud|NA",2020-03-07,"Switzerland","Vaud",NA,46.5369,6.58478,1,30,0,0,7,0,793100,0.22,0.616,0.164,40.1,281.1,0.073
"Switzerland|Zurich|NA",2020-03-07,"Switzerland","Zurich",NA,47.451542,8.564572,0,30,400,0,4,0,1504300,0.197,0.633,0.17,41,905.8,0.074
"Switzerland|Aargau|NA",2020-03-07,"Switzerland","Aargau",NA,47.449406,8.327495,0,12,0,0,0,0,671000,0.203,0.624,0.174,41.4,481,0.071
"Switzerland|Appenzell Innerrhoden|NA",2020-03-07,"Switzerland","Appenzell Innerrhoden",NA,47.328414,9.409647,0,0,0,0,0,0,16100,0.216,0.597,0.187,42.4,93.4,0.075
"Switzerland|Appenzell Ausserrhoden|NA",2020-03-07,"Switzerland","Appenzell Ausserrhoden",NA,47.38271,9.27186,0,1,0,0,0,0,55200,0.202,0.606,0.192,41.3,227.2,0.092
"Switzerland|Bern|NA",2020-03-07,"Switzerland","Bern",NA,46.916667,7.466667,0,17,0,0,0,0,1031100,0.191,0.604,0.206,43,176.5,0.092
"Switzerland|Fribourg|NA",2020-03-07,"Switzerland","Fribourg",NA,46.718391,7.074008,0,6,30,0,0,0,315100,0.225,0.62,0.155,39.7,197.8,0.066
"Switzerland|Glarus|NA",2020-03-07,"Switzerland","Glarus",NA,47.04057,9.068036,0,0,0,0,0,0,40300,0.192,0.61,0.197,42.7,59.3,0.094
"Switzerland|Graubunden|NA",2020-03-07,"Switzerland","Graubunden",NA,46.796756,10.305946,0,0,0,0,0,0,197900,0.181,0.61,0.209,43.7,27.9,0.088
"Switzerland|Luzern|NA",2020-03-07,"Switzerland","Luzern",NA,47.083333,8.266667,0,0,0,0,0,0,406500,0.204,0.622,0.174,41.1,284.4,0.076
"Switzerland|Nidwalden|NA",2020-03-07,"Switzerland","Nidwalden",NA,46.95805,8.36609,0,0,0,0,0,0,43000,0.183,0.62,0.197,43.3,178,0.078
"Switzerland|Obwalden|NA",2020-03-07,"Switzerland","Obwalden",NA,46.898509,8.250681,0,0,0,0,0,0,37600,0.203,0.614,0.183,42,78.2,0.074
"Switzerland|St.Gallen|NA",2020-03-07,"Switzerland","St.Gallen",NA,47.43162,9.39845,0,2,0,0,0,0,504700,0.206,0.614,0.18,41.3,258.7,0.077
"Switzerland|Schaffhausen|NA",2020-03-07,"Switzerland","Schaffhausen",NA,47.71357,8.59167,0,0,0,0,0,0,81400,0.188,0.602,0.21,43.4,272.8,0.091
"Switzerland|Solothurn|NA",2020-03-07,"Switzerland","Solothurn",NA,47.206649,7.516605,0,1,0,0,0,0,271400,0.191,0.616,0.193,42.8,343.4,0.09
"Switzerland|Schwyz|NA",2020-03-07,"Switzerland","Schwyz",NA,47.061787,8.756585,0,6,6,0,0,0,157300,0.195,0.63,0.174,42,184.8,0.068
"Switzerland|Thurgau|NA",2020-03-07,"Switzerland","Thurgau",NA,47.55993,8.8998,0,0,0,0,0,0,273800,0.204,0.624,0.173,41.4,317.2,0.073
"Switzerland|Uri|NA",2020-03-07,"Switzerland","Uri",NA,46.880422,8.644409,0,0,0,0,0,0,36300,0.203,0.597,0.201,42.5,34.3,0.099
"Switzerland|Valais|NA",2020-03-07,"Switzerland","Valais",NA,46.209567,7.604659,0,6,0,0,0,0,341500,0.199,0.608,0.193,42.1,65.5,0.081
"Switzerland|Zug|NA",2020-03-07,"Switzerland","Zug",NA,47.157296,8.537294,0,3,0,0,0,0,125400,0.202,0.631,0.167,41.4,605.4,0.064
"Switzerland|Baselland|NA",2020-03-08,"Switzerland","Baselland",NA,47.482779,7.742975,1,19,0,1,4,0,287000,0.192,0.591,0.217,43.8,554.5,0.086
"Switzerland|Basel-Stadt|NA",2020-03-08,"Switzerland","Basel-Stadt",NA,47.558395,7.573271,0,24,235,0,3,0,193900,0.171,0.629,0.2,43.1,5247.8,0.11
